code,description
B1,"[reserved] officially listed as reserved"
B3,"[reserved] officially listed as reserved"
B4,"[reserved] officially listed as reserved"
B6,"[reserved] officially listed as reserved"
B6,"Windows Windows NT mirror set (master), FAT16 file system"
B7,"BSDI BSDI file system (secondarily swap)"
B7,"Windows Windows NT mirror set (master), NTFS file system"
B8,"BSDI BSDI swap partition (secondarily file system)"
BE,"Solaris Solaris boot partition"
C0,"CTOS CTOS"
C0,"DR-DOS DR DOS/DR-DOS/Novell DOS secured partition"
C1,"DR-DOS6.0 DR DOS 6.0 LOGIN.EXE-secured 12-bit FAT partition"
C4,"DR-DOS6.0 DR DOS 6.0 LOGIN.EXE-secured 16-bit FAT partition"
C6,"DR-DOS6.0 DR DOS 6.0 LOGIN.EXE-secured Huge partition"
C6,"corrupted corrupted FAT16 volume/stripe set (Windows NT)"
C6,"Windows Windows NT mirror set (slave), FAT16 file system"
C7,"Syrinx Syrinx Boot"
C7,"corrupted corrupted NTFS volume/stripe set"
C7,"Windows Windows NT mirror set (slave), NTFS file system"
CB,"DR-DOS Reserved for DR DOS/DR-DOS/OpenDOS secured FAT32"
CC,"DR-DOS Reserved for DR DOS/DR-DOS secured FAT32 (LBA)"
CE,"DR-DOS Reserved for DR DOS/DR-DOS secured FAT16 (LBA)"
D0,"Multiuser Multiuser DOS secured FAT12"
D1,"Old-FAT12 Old Multiuser DOS secured FAT12"
D4,"Old-FAT16 Old Multiuser DOS secured FAT16 (<= 32M)"
D5,"Old-Ext Old Multiuser DOS secured extended partition"
D6,"Old-FAT16 Old Multiuser DOS secured FAT16 (> 32M)"
D8,"CP/M-86 CP/M-86"
DB,"CP/M CP/M, Concurrent CP/M, Concurrent DOS"
DB,"CTOS CTOS (Convergent Technologies OS)"
E1,"SpeedStor SpeedStor 12-bit FAT extended partition"
E2,"DOS DOS read-only (Florian Painke’s XFDISK 1.0.4)"
E3,"DOS DOS read-only"
E3,"Storage Storage Dimensions"
E4,"SpeedStor SpeedStor 16-bit FAT extended partition"
E5,"[reserved] officially listed as reserved"
E6,"[reserved] officially listed as reserved"
EB,"BeOS BeOS BFS (BFS1)"
F1,"Storage Storage Dimensions"
F2,"DOS DOS 3.3+ secondary partition"
F3,"[reserved] officially listed as reserved"
F4,"SpeedStor SpeedStor"
F4,"Storage Storage Dimensions"
F5,"Prologue Prologue"
F6,"[reserved] officially listed as reserved"
FB,"VMWARE vmware partition"
FE,"LANstep LANstep"
FE,"PS/2-IML IBM PS/2 IML (Initial Microcode Load) partition"
FF,"Xenix Xenix bad block table"
FM,"VMware VMware raw partition"
